Alpha,Cl,Cd
-10.5,-0.4876,0.10841
-10.25,-0.5001,0.10247
-10,-0.5715,0.08947
-9.75,-0.7409,0.06466
-9.5,-0.8387,0.05594
-9.25,-0.8938,0.05095
-9,-0.8627,0.05074
-8.75,-0.8928,0.04743
-8.5,-0.8721,0.04673
-8.25,-0.8918,0.04411
-8,-0.8647,0.04386
-7.75,-0.8747,0.04172
-7.5,-0.8589,0.04109
-7.25,-0.8422,0.04046
-7,-0.8427,0.03895
-6.75,-0.8313,0.0382
-6.5,-0.8113,0.03791
-6.25,-0.8007,0.0371
-6,-0.7947,0.03608
-5.75,-0.7827,0.03548
-5.5,-0.7627,0.03537
-5.25,-0.7478,0.03498
-5,-0.7354,0.03446
-4.75,-0.724,0.03389
-4.5,-0.7125,0.03338
-4.25,-0.6963,0.03323
-4,-0.6783,0.03326
-3.75,-0.6624,0.03317
-3.5,-0.6476,0.03305
-3.25,-0.6335,0.03293
-3,-0.6196,0.03285
-2.75,-0.6058,0.03281
-2.5,-0.5919,0.03285
-2.25,-0.578,0.03294
-2,-0.5636,0.03313
-1.75,-0.5487,0.0334
-1.5,-0.5311,0.03382
-1.25,-0.4625,0.03554
-1,-0.3872,0.03723
-0.75,-0.3016,0.03882
-0.5,-0.2062,0.04015
-0.25,-0.1005,0.04102
0,0,0.04128
0.25,0.1005,0.04102
0.5,0.2061,0.04015
0.75,0.3016,0.03882
1,0.3873,0.03722
1.25,0.4625,0.03553
1.5,0.5311,0.03381
1.75,0.5486,0.03339
2,0.5635,0.03312
2.25,0.5778,0.03294
2.5,0.5918,0.03284
2.75,0.6056,0.03281
3,0.6194,0.03285
3.25,0.6333,0.03293
3.5,0.6475,0.03305
3.75,0.6623,0.03316
4,0.6782,0.03325
4.25,0.6962,0.03322
4.5,0.7123,0.03338
4.75,0.7237,0.03389
5,0.7352,0.03446
5.25,0.7477,0.03498
5.5,0.7626,0.03537
5.75,0.7827,0.03547
6,0.7944,0.03608
6.25,0.8005,0.0371
6.5,0.8111,0.0379
6.75,0.8312,0.03819
7,0.8424,0.03895
7.25,0.8421,0.04045
7.5,0.8589,0.04107
7.75,0.8745,0.04172
8,0.8647,0.04385
8.25,0.8918,0.0441
8.5,0.8722,0.04671
8.75,0.8928,0.04742
9,0.8629,0.05073
9.25,0.8938,0.05095
9.5,0.8388,0.05594
9.75,0.7409,0.06471
10,0.5703,0.08974
10.25,0.5015,0.10242
10.5,0.4886,0.10841
