Alpha,Cl,Cd
-19.5,-1.3288,0.0832
-19.25,-1.3394,0.07849
-19,-1.3552,0.07319
-18.75,-1.3684,0.06829
-18.5,-1.379,0.06378
-18.25,-1.3871,0.05966
-18,-1.3931,0.05589
-17.75,-1.3969,0.05241
-17.5,-1.3987,0.04925
-17.25,-1.3989,0.04635
-17,-1.3974,0.04369
-16.75,-1.3944,0.04125
-16.5,-1.3892,0.0391
-16.25,-1.391,0.03635
-16,-1.3894,0.03399
-15.75,-1.3846,0.03203
-15.5,-1.3778,0.03032
-15.25,-1.3688,0.02884
-15,-1.3579,0.02756
-14.75,-1.3492,0.02617
-14.5,-1.3414,0.02478
-14.25,-1.3308,0.02365
-14,-1.3183,0.02269
-13.75,-1.3049,0.02184
-13.5,-1.2945,0.02083
-13.25,-1.2815,0.02004
-13,-1.2663,0.01942
-12.75,-1.2544,0.01865
-12.5,-1.2407,0.01804
-12.25,-1.2261,0.01754
-12,-1.2153,0.01697
-11.75,-1.2048,0.01657
-11.5,-1.1991,0.01622
-11.25,-1.2027,0.01594
-11,-1.2083,0.01575
-10.75,-1.1948,0.01549
-10.5,-1.1641,0.01497
-10.25,-1.1316,0.01459
-10,-1.0994,0.01413
-9.75,-1.0657,0.01376
-9.5,-1.0346,0.01334
-9.25,-1.0038,0.01297
-9,-0.9711,0.0126
-8.75,-0.9375,0.0122
-8.5,-0.9031,0.01186
-8.25,-0.8703,0.01151
-8,-0.8446,0.01118
-7.75,-0.8157,0.01089
-7.5,-0.7902,0.01059
-7.25,-0.7656,0.01032
-6.75,-0.717,0.00981
-6.5,-0.6927,0.00956
-6.25,-0.6677,0.00936
-6,-0.6424,0.00915
-5.75,-0.6173,0.00894
-5.5,-0.5913,0.00877
-5.25,-0.5653,0.00861
-5,-0.5396,0.00844
-4.75,-0.5132,0.00829
-4.5,-0.4865,0.00818
-4,-0.4337,0.00792
-3.75,-0.4067,0.00783
-3.5,-0.3802,0.00773
-3,-0.3264,0.00756
-2.75,-0.2992,0.0075
-2.5,-0.2725,0.00743
-2.25,-0.2456,0.00738
-2,-0.2183,0.00733
-1.75,-0.191,0.00729
-1.5,-0.1639,0.00724
-1.25,-0.1367,0.00722
-0.75,-0.082,0.00718
-0.5,-0.0547,0.00716
-0.25,-0.0273,0.00716
0,0,0.00718
0.25,0.0273,0.00717
0.5,0.0547,0.00716
0.75,0.082,0.00718
1.25,0.1367,0.00722
1.5,0.1639,0.00724
1.75,0.191,0.00729
2,0.2183,0.00733
2.25,0.2456,0.00738
2.5,0.2725,0.00743
2.75,0.2993,0.0075
3,0.3265,0.00756
3.5,0.3802,0.00773
3.75,0.4068,0.00783
4,0.4338,0.00792
4.5,0.4866,0.00818
4.75,0.5133,0.00829
5,0.5397,0.00844
5.25,0.5654,0.00861
5.5,0.5914,0.00877
5.75,0.6174,0.00895
6,0.6426,0.00915
6.25,0.6678,0.00936
6.5,0.6929,0.00956
6.75,0.7172,0.00981
7.25,0.7658,0.01032
7.5,0.7904,0.01059
7.75,0.8158,0.0109
8,0.8448,0.01118
8.25,0.8704,0.0115
8.5,0.9033,0.01186
8.75,0.9377,0.0122
9,0.9713,0.0126
9.25,1.0041,0.01296
9.5,1.0348,0.01334
9.75,1.0661,0.01375
10,1.0998,0.01412
10.25,1.1319,0.01459
10.5,1.1645,0.01497
10.75,1.1953,0.01548
11,1.2083,0.01575
11.25,1.2029,0.01594
11.5,1.1994,0.01622
11.75,1.2053,0.01656
12,1.2159,0.01697
12.25,1.2268,0.01754
12.5,1.2416,0.01803
12.75,1.2554,0.01864
13,1.2674,0.01941
13.25,1.2827,0.02003
13.5,1.2957,0.02082
13.75,1.3061,0.02183
14,1.3198,0.02267
14.25,1.3324,0.02362
14.5,1.343,0.02476
14.75,1.3509,0.02615
15,1.3599,0.02752
15.25,1.3708,0.0288
15.5,1.3799,0.03028
15.75,1.3869,0.03198
16,1.3917,0.03394
16.25,1.3932,0.03631
16.5,1.3922,0.03899
16.75,1.3972,0.04116
17,1.4005,0.04358
17.25,1.402,0.04625
17.5,1.4019,0.04914
17.75,1.4002,0.05229
18,1.3966,0.05575
18.25,1.3907,0.05953
18.5,1.3824,0.06367
18.75,1.3718,0.0682
19,1.3585,0.07312
19.25,1.3426,0.07843
