Alpha,Cl,Cd
-18.75,-1.1121,0.09926
-18.5,-1.1463,0.0906
-18.25,-1.1706,0.08389
-18,-1.1908,0.07804
-17.75,-1.209,0.07277
-17.5,-1.2255,0.068
-17.25,-1.2271,0.06487
-17,-1.2116,0.06364
-16.75,-1.2055,0.06154
-16.5,-1.2036,0.05902
-16.25,-1.2041,0.0563
-16,-1.2068,0.05348
-15.75,-1.211,0.05068
-15.5,-1.1967,0.04925
-15.25,-1.1863,0.04774
-15,-1.1804,0.0459
-14.75,-1.1767,0.0439
-14.5,-1.1754,0.04182
-14.25,-1.1587,0.04065
-14,-1.1497,0.0392
-13.75,-1.1432,0.03762
-13.5,-1.1351,0.03609
-13.25,-1.1244,0.03482
-13,-1.1158,0.03354
-12.75,-1.1083,0.03224
-12.5,-1.0966,0.03106
-12.25,-1.087,0.02999
-12,-1.0774,0.02893
-11.75,-1.0674,0.0279
-11.5,-1.0578,0.02705
-11.25,-1.0479,0.02612
-11,-1.0392,0.02535
-10.75,-1.0307,0.02474
-10.5,-1.024,0.02395
-10.25,-1.0194,0.02345
-10,-1.0163,0.02292
-9.75,-1.0147,0.02244
-9.5,-1.0085,0.02207
-9.25,-1.0038,0.0215
-9,-0.9968,0.02115
-8.75,-0.9903,0.02066
-8.5,-0.9818,0.02033
-8.25,-0.9735,0.01989
-8,-0.9628,0.01961
-7.75,-0.9529,0.01919
-7.5,-0.9405,0.01892
-7.25,-0.9285,0.01858
-7,-0.9152,0.01829
-6.75,-0.8833,0.018
-6.5,-0.8419,0.01772
-6.25,-0.8043,0.01741
-6,-0.7628,0.01712
-5.75,-0.7264,0.01679
-5.5,-0.686,0.01649
-5.25,-0.6474,0.0162
-5,-0.6102,0.01591
-4.75,-0.566,0.0156
-4.5,-0.5334,0.01533
-4.25,-0.4908,0.01501
-4,-0.4473,0.01468
-3.75,-0.4199,0.01443
-3.5,-0.3809,0.0141
-3.25,-0.3544,0.01388
-3,-0.3191,0.01354
-2.75,-0.294,0.01331
-2.5,-0.265,0.01307
-2.25,-0.2373,0.01285
-2,-0.2116,0.01269
-1.75,-0.1839,0.0125
-1.5,-0.1571,0.01234
-1.25,-0.1314,0.01222
-1,-0.1052,0.01213
-0.75,-0.0787,0.01206
-0.5,-0.0522,0.012
-0.25,-0.0262,0.01197
0,0,0.01195
0.25,0.0262,0.01197
0.5,0.0522,0.012
0.75,0.0787,0.01206
1,0.1052,0.01213
1.25,0.1315,0.01222
1.5,0.1571,0.01234
1.75,0.1839,0.0125
2,0.2116,0.01269
2.25,0.2373,0.01285
2.5,0.265,0.01307
2.75,0.294,0.01331
3,0.3191,0.01354
3.25,0.3543,0.01388
3.5,0.3809,0.0141
3.75,0.4199,0.01443
4,0.4473,0.01468
4.25,0.4908,0.01501
4.5,0.5334,0.01533
4.75,0.5661,0.0156
5,0.6102,0.0159
5.25,0.6473,0.0162
5.5,0.6861,0.01649
5.75,0.7264,0.01679
6,0.7629,0.01711
6.25,0.8044,0.0174
6.5,0.8421,0.01771
6.75,0.8834,0.01799
7,0.915,0.01828
7.25,0.9283,0.01858
7.5,0.9403,0.01891
7.75,0.9527,0.01918
8,0.9627,0.0196
8.25,0.9733,0.01988
8.5,0.9817,0.02032
8.75,0.9902,0.02066
9,0.9968,0.02114
9.25,1.0038,0.0215
9.5,1.0085,0.02207
9.75,1.0148,0.02243
10,1.0166,0.02292
10.25,1.0197,0.02344
10.5,1.0244,0.02394
10.75,1.0311,0.02474
11,1.0397,0.02535
11.25,1.0485,0.02611
11.5,1.0585,0.02704
11.75,1.0681,0.02789
12,1.0782,0.02892
12.25,1.088,0.02998
12.5,1.0976,0.03105
12.75,1.1096,0.03224
13,1.117,0.03353
13.25,1.1257,0.0348
13.5,1.1366,0.03607
13.75,1.1444,0.03761
14,1.1511,0.03918
14.25,1.1603,0.04063
14.5,1.1775,0.04179
14.75,1.1782,0.04389
15,1.1821,0.04588
15.25,1.1883,0.0477
15.5,1.199,0.04919
15.75,1.2126,0.05068
16,1.2087,0.05347
16.25,1.2061,0.05629
16.5,1.2058,0.05898
16.75,1.208,0.06147
17,1.2147,0.06353
17.25,1.2311,0.0647
17.5,1.2272,0.06805
17.75,1.2108,0.07283
18,1.1929,0.07807
18.25,1.1728,0.08392
18.5,1.1488,0.0906
18.75,1.1147,0.09924
