Alpha,Cl,Cd
-19.75,-1.2394,0.0961
-19.5,-1.2433,0.09208
-19.25,-1.2442,0.08875
-19,-1.2435,0.08589
-18.75,-1.2449,0.08254
-18.5,-1.247,0.07904
-18.25,-1.2485,0.07562
-18,-1.2502,0.07219
-17.75,-1.2519,0.06881
-17.5,-1.2528,0.06556
-17.25,-1.2529,0.06242
-17,-1.2525,0.05937
-16.75,-1.2574,0.05597
-16.5,-1.2597,0.05278
-16.25,-1.2595,0.04988
-16,-1.258,0.04721
-15.75,-1.2553,0.04471
-15.5,-1.2509,0.04243
-15.25,-1.2495,0.03996
-15,-1.2499,0.0374
-14.75,-1.2458,0.0353
-14.5,-1.239,0.03352
-14.25,-1.23,0.03199
-14,-1.2261,0.0301
-13.75,-1.2196,0.0285
-13.5,-1.2092,0.02727
-13.25,-1.1984,0.02612
-13,-1.1918,0.02475
-12.75,-1.1804,0.02376
-12.5,-1.1678,0.02291
-12.25,-1.1593,0.02187
-12,-1.1466,0.02114
-11.75,-1.135,0.02042
-11.5,-1.1253,0.0197
-11.25,-1.1131,0.01921
-11,-1.1071,0.01863
-10.75,-1.103,0.0182
-10.5,-1.1003,0.01792
-10.25,-1.1064,0.01762
-10,-1.105,0.01729
-9.75,-1.099,0.01703
-9.5,-1.0937,0.0167
-9.25,-1.0734,0.01632
-9,-1.0392,0.01585
-8.75,-1.0033,0.01546
-8.5,-0.9683,0.015
-8.25,-0.9359,0.01456
-8,-0.9007,0.01418
-7.75,-0.8638,0.01381
-7.5,-0.8262,0.01339
-7.25,-0.7954,0.013
-7,-0.7599,0.01262
-6.75,-0.7225,0.01225
-6.5,-0.6854,0.01191
-6.25,-0.6586,0.0116
-6,-0.627,0.01126
-5.75,-0.6001,0.01099
-5.5,-0.5725,0.01074
-5.25,-0.5471,0.01048
-5,-0.5214,0.01023
-4.75,-0.4965,0.01003
-4.5,-0.4699,0.00985
-4.25,-0.4455,0.00964
-4,-0.4198,0.00947
-3.75,-0.3937,0.00933
-3.5,-0.3678,0.0092
-3.25,-0.3421,0.00906
-3,-0.316,0.00895
-2.75,-0.2897,0.00886
-2.5,-0.2634,0.00877
-2.25,-0.2373,0.00868
-2,-0.211,0.00862
-1.75,-0.1846,0.00858
-1.5,-0.1582,0.00852
-1.25,-0.1319,0.00847
-1,-0.1056,0.00844
-0.75,-0.0791,0.00843
-0.5,-0.0527,0.00842
-0.25,-0.0264,0.00839
0,0,0.00838
0.25,0.0264,0.00839
0.5,0.0527,0.00842
0.75,0.0792,0.00843
1,0.1056,0.00844
1.25,0.1319,0.00847
1.5,0.1582,0.00852
1.75,0.1846,0.00858
2,0.2111,0.00862
2.25,0.2374,0.00868
2.5,0.2634,0.00877
2.75,0.2898,0.00886
3,0.316,0.00895
3.25,0.3421,0.00906
3.5,0.3679,0.0092
3.75,0.3937,0.00933
4,0.4199,0.00947
4.25,0.4455,0.00964
4.5,0.47,0.00985
4.75,0.4965,0.01003
5,0.5215,0.01023
5.25,0.5472,0.01048
5.5,0.5725,0.01074
5.75,0.6001,0.01099
6,0.6271,0.01126
6.25,0.6587,0.0116
6.5,0.6855,0.01191
6.75,0.7226,0.01225
7,0.76,0.01262
7.25,0.7956,0.013
7.5,0.8265,0.01339
7.75,0.864,0.01381
8,0.9009,0.01417
8.25,0.9361,0.01456
8.5,0.9685,0.015
8.75,1.0035,0.01546
9,1.0395,0.01584
9.25,1.0737,0.01632
9.5,1.0936,0.01669
9.75,1.0988,0.01702
10,1.1049,0.01728
10.25,1.1065,0.01761
10.5,1.1005,0.01791
10.75,1.1033,0.01819
11,1.1074,0.01863
11.25,1.1136,0.0192
11.5,1.1259,0.0197
11.75,1.1357,0.02041
12,1.1474,0.02113
12.25,1.1603,0.02186
12.5,1.1687,0.0229
12.75,1.1816,0.02375
13,1.193,0.02473
13.25,1.1996,0.02611
13.5,1.2107,0.02724
13.75,1.2211,0.02848
14,1.2276,0.03008
14.25,1.2319,0.03194
14.5,1.2409,0.03348
14.75,1.2479,0.03526
15,1.252,0.03736
15.25,1.2513,0.03995
15.5,1.2535,0.04236
15.75,1.2579,0.04464
16,1.2606,0.04714
16.25,1.2623,0.0498
16.5,1.2624,0.0527
16.75,1.2601,0.0559
17,1.255,0.05931
17.25,1.256,0.06232
17.5,1.256,0.06546
17.75,1.2551,0.06871
18,1.2535,0.07209
18.25,1.2518,0.07551
18.5,1.2504,0.07893
18.75,1.2483,0.08244
19,1.247,0.08575
